title,category,subcategory,price,image_url,sizes_text,is_active
Футболка PYREX,Футболки/Лонгсливы/Рубашки,,3000,https://sun9-74.userapi.com/s/v1/ig2/dtTLbmtOreHZ-z4W1fZxiNBnXWe2ndMn0D8wDSj_hqDsdxrGkNyZ80PFCr78xtiMVA8MqRkCs3E9Wdu39Zj7JHGx.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Футболка ACICS VINTAGE TEE,Футболки/Лонгсливы/Рубашки,,3000,https://sun9-14.userapi.com/s/v1/ig2/5PTVQPHtaIpO_tGh4vgOv-oxtjQtJYwzWFPFy5i7Y6SXNsZBXk9P-rkLXoXXnG8xxD0mFaqzj-0kOp1hGhXFc11_.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Футболка YSL,Футболки/Лонгсливы/Рубашки,,3500,https://sun9-61.userapi.com/s/v1/ig2/Bx9kDJY4r8LxRh0CaUhOq4WMZpCEnVTYEQown2a-jisAkumVwevcs2jKZl9KlHNZKefCVQbGFHyqJrStvv0H7Qh4.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Футболка TRIVIUM,Футболки/Лонгсливы/Рубашки,,2500,https://sun9-57.vkuserphoto.ru/s/v1/ig2/_3frJw3cqBgwNA2YD-QKs6LjM-rVTYt7-1JYQ2KrKRNMTGoD-G6D_nwBV3uNbm2ue1UkdgQyeIzd05PzChH38tk7.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Футболка IRON MAIDEN,Футболки/Лонгсливы/Рубашки,,2500,https://sun9-63.userapi.com/s/v1/ig2/kF6pu1P2mUI8Xzt2kCwPtwEKFqpK4htoBjyiSC9GjViZZXVVwLHfyeqKvkS4to8q-_59z07fYpJhPOjmcWDgSkRZ.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Футболка CHRISTIAN AUDIGIER,Футболки/Лонгсливы/Рубашки,,4000,https://sun9-77.vkuserphoto.ru/s/v1/ig2/QzosUnQpbD9kEXTAyUFrjMjmyoiAED0OgMasL8g83CfrpZlSCrEG8bGvflYxjB4che_km37oiWrFTFagp-15m-my.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Футболка AC&DC,Футболки/Лонгсливы/Рубашки,,2500,https://sun9-15.vkuserphoto.ru/s/v1/ig2/pz2Hjjc3DrVEg_2dBeApnROo0L3aaZYcJzMY3y-49v4JrRo4QlMjr82ivC3Jm8bThG9wWQthT1wjPjmlzzXy3oMM.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Футболка OZZY OSBOURNE SCREAM,Футболки/Лонгсливы/Рубашки,,2500,https://sun9-82.vkuserphoto.ru/s/v1/ig2/8pibKdYe4DbM4bSFmgl-Cl9IRBgcg_SuDrTfSYuJH0ZUDtOPGlRR4KBk977SIX89JihO30vSlgPXnXZUwD522Atr.jpg?quality=95&as=32x32,"XS,S,M,L,XL,XXL",1
Футболка ULTRAMAN GAIA 1998,Футболки/Лонгсливы/Рубашки,,2250,https://sun9-34.vkuserphoto.ru/s/v1/ig2/xTa5r10PVF0zvmhQL5PQts08SdykVGLlT711XIzid5OOiyUm4PfPJvCV8UzCSY_0xoY_4D6_tRQtvGoBCBVJwE3x.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Футболка MERCH,Футболки/Лонгсливы/Рубашки,,2500,https://sun9-69.vkuserphoto.ru/s/v1/ig2/7ZptJQAAvFiG-aLW7M5oMOk-J2N2q4l2rBjzPsmppVS_4LVFBSZkzM3TDFphN3kIjUrwSiCwaQ7i9AWDc-udebQ8.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Футболка NORTON,Футболки/Лонгсливы/Рубашки,,2500,https://sun9-76.vkuserphoto.ru/s/v1/ig2/D-JEScFAfgn4mWguBZrGoXGziZ7_PvIml_12oc4rFeHNbWWFeQjg7llUNtnaiFqnM8yVpzV1lJlnHbSMTNzb_sG5.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Футболка AIRBORNE,Футболки/Лонгсливы/Рубашки,,2500,https://sun9-5.vkuserphoto.ru/s/v1/ig2/c_2goIS6C4IqAgFEfbrrGLnmeGkeHDafmGj1AAngpHIyJuCmpHfzLlHjnUl7GUONcrZvdcf9Ng6h1s5qePnGRlV4.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Футболка PRADA,Футболки/Лонгсливы/Рубашки,,5000,https://sun9-31.vkuserphoto.ru/s/v1/ig2/SVHEZmvOVBAUFyGv_zoMQ9bhjfei80CfJ8TbzHXg205YJwgkpXXkdkSp7WLihSNwUapuKNsy8c19L2GLFMGCHGye.jpg?quality=95&as=32x32,"XS,S,M,L,XL,XXL",1
Футболка AIRBORNE,Футболки/Лонгсливы/Рубашки,,2500,https://sun9-70.vkuserphoto.ru/s/v1/ig2/WXWnaGd4JufbPRpHGX4MdnzIy3t_CKrnr9zq8xDY2TlqSk7Neb-NCZW5v6It9_vDPtA9cM1VRtDXrEZZLxqgpDXL.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Шорты Карго,Шорты/Юбки,,3000,https://sun9-71.vkuserphoto.ru/s/v1/ig2/DoaMheJBe0kJjqCzq49EMsfLw6zfmQcz831xVhrfsOSSrjkVw54vLJJ0eVBBPKvQxuFo_gkXk_e9XDB0jqyJi-vw.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
Black Opium Jeans,Брюки/Джинсы,,5250,https://sun9-41.vkuserphoto.ru/s/v1/ig2/m-IdoYOb1D5TGwKkH1RllLgXGGCLWCTBd6_912OyZ-JyByuX8CJATfBhn9sygR5KlsS_02d4gobIRxXvoTmCyLji.jpg?quality=95&as=32x43,"XS,S,M,L,XL,XXL",1
